region,year,tourism_nights
EL65,2019.0,1856367.0
ES11,2019.0,6799649.0
ES12,2019.0,3132130.0
ES13,2019.0,2338036.0
ES21,2019.0,3560919.0
ES22,2019.0,1546251.0
ES23,2019.0,800326.0
ES24,2019.0,4571654.0
ES30,2019.0,11182197.0
ES41,2019.0,6701376.0
ES42,2019.0,3111009.0
ES43,2019.0,2103128.0
ES51,2019.0,15597072.0
ES52,2019.0,16204467.0
ES53,2019.0,4737956.0
ES61,2019.0,25560286.0
ES62,2019.0,2395696.0
ES63,2019.0,109988.0
ES64,2019.0,106011.0
ES70,2019.0,9051088.0
EU25,2019.0,996476915.0
EU28,2019.0,1026636655.0
FI19,2019.0,3004189.0
FI1B,2019.0,3359544.0
FI1C,2019.0,2164847.0
FI1D,2019.0,4166719.0
FI20,2019.0,120790.0
FR10,2019.0,31690747.0
FRB0,2019.0,4797627.0
FRC1,2019.0,3530173.0
FRC2,2019.0,1597120.0
FRD1,2019.0,3758018.0
FRD2,2019.0,2500058.0
FRE1,2019.0,4721320.0
FRE2,2019.0,2175705.0
FRF1,2019.0,4322096.0
FRF2,2019.0,2083089.0
FRF3,2019.0,3072528.0
FRG0,2019.0,6611064.0
FRH0,2019.0,6825484.0
FRI1,2019.0,7831072.0
FRI2,2019.0,1213247.0
FRI3,2019.0,4342121.0
FRJ1,2019.0,6347264.0
FRJ2,2019.0,5903069.0
FRK1,2019.0,3170319.0
FRK2,2019.0,15007162.0
FRL0,2019.0,14351738.0
FRM0,2019.0,2363106.0
FRY1,2019.0,1026014.0
FRY2,2019.0,1124655.0
FRY3,2019.0,342254.0
FRY4,2019.0,1358402.0
HR02,2019.0,192967.0
HR03,2019.0,2029717.0
HR05,2019.0,232474.0
HR06,2019.0,289569.0
HU11,2019.0,1101345.0
HU12,2019.0,793139.0
HU21,2019.0,1629037.0
HU22,2019.0,2907868.0
HU23,2019.0,1583962.0
HU31,2019.0,1836606.0
HU32,2019.0,1384364.0
HU33,2019.0,1157454.0
IE04,2019.0,3650186.0
IE05,2019.0,5410545.0
IE06,2019.0,5705734.0
IS00,2019.0,580556.0
ITC1,2019.0,4734822.0
ITC2,2019.0,1390348.0
ITC3,2019.0,5641856.0
