region,year,population
PL42,1995,1716700.0
PL43,1995,1012045.0
PL51,1995,2988327.0
PL52,1995,1095398.0
PL61,1995,2090331.0
PL62,1995,1449121.0
PL63,1995,2158019.0
PT11,1995,3551449.0
PT15,1995,357495.0
PT16,1995,2282411.0
PT17,1995,2551871.0
PT18,1995,779171.0
PT20,1995,239757.0
PT30,1995,246505.0
RO11,1995,2888806.0
RO12,1995,2684501.0
RO21,1995,3780653.0
RO22,1995,2957707.0
RO31,1995,3532198.0
RO32,1995,2337293.0
RO41,1995,2441803.0
RO42,1995,2089433.0
UKC1,1995,1156646.0
UKC2,1995,1429042.0
UKD1,1995,486896.0
UKD3,1995,2542920.0
UKD4,1995,1414304.0
UKE1,1995,882916.0
UKE2,1995,722634.0
UKE3,1995,1282016.0
UKE4,1995,2072764.0
UKF1,1995,1966416.0
UKF2,1995,1506283.0
UKF3,1995,608992.0
UKG1,1995,1183993.0
UKG2,1995,1464414.0
UKG3,1995,2604696.0
UKH1,1995,2091270.0
UKH2,1995,1538846.0
UKH3,1995,1561692.0
UKJ1,1995,2012392.0
UKJ2,1995,2466810.0
UKJ3,1995,1724164.0
UKJ4,1995,1533920.0
UKK1,1995,2096908.0
UKK2,1995,1147669.0
UKK3,1995,478861.0
UKK4,1995,1046028.0
UKL1,1995,1860724.0
UKL2,1995,1027258.0
UKN0,1995,1646641.0
CH01,1996,1272434.0
CH02,1996,1640214.0
CH03,1996,976977.0
CH04,1996,1175457.0
CH05,1996,1033084.0
CH06,1996,658989.0
CH07,1996,305199.0
CY00,1996,656333.0
EFTA,1996,11731192.0
EL30,1996,3782407.0
EL41,1996,199086.0
EL42,1996,286632.0
EL43,1996,560402.0
EL51,1996,579792.0
EL52,1996,1775368.0
EL53,1996,291160.0
EL54,1996,332804.0
EL61,1996,740541.0
EL62,1996,198097.0
EL63,1996,708251.0
EL64,1996,551316.0
EL65,1996,582476.0
ES11,1996,2722355.0
ES12,1996,1082714.0
ES13,1996,531601.0
ES21,1996,2094857.0
ES22,1996,534844.0
ES23,1996,269078.0
ES24,1996,1197260.0
ES30,1996,5157603.0
ES41,1996,2512008.0
ES42,1996,1707702.0
ES43,1996,1064700.0
ES51,1996,6184327.0
ES52,1996,3996734.0
ES53,1996,767952.0
ES61,1996,7152485.0
ES62,1996,1114394.0
ES63,1996,69735.0
ES64,1996,61381.0
ES70,1996,1586644.0
EU28,1996,482736385.0
FI19,1996,1314791.0
FI1B,1996,1310680.0
FI1C,1996,1129302.0
FI1D,1996,1336851.0
FI20,1996,25202.0
FR10,1996,10883848.0
FRB0,1996,2424326.0
FRC1,1996,1614875.0
FRC2,1996,1113796.0
FRD1,1996,1411452.0
FRD2,1996,1774450.0
FRE1,1996,3991531.0
FRE2,1996,1851969.0
FRF1,1996,1699339.0
FRF2,1996,1349022.0
FRF3,1996,2315782.0
FRG0,1996,3164039.0
FRH0,1996,2853664.0
FRI1,1996,2864475.0
FRI2,1996,715315.0
FRI3,1996,1623721.0
FRJ1,1996,2229405.0
FRJ2,1996,2506942.0
FRK1,1996,1310888.0
FRK2,1996,5551758.0
FRL0,1996,4426194.0
FRM0,1996,259168.0
FRY2,1996,370818.0
FRY3,1996,139848.0
FRY4,1996,668915.0
LI00,1996,30923.0
LU00,1996,411600.0
MK00,1996,1974800.0
MT00,1996,371415.0
PL21,1996,3190186.0
PL22,1996,4907930.0
PL41,1996,3331941.0
PL42,1996,1720782.0
PL43,1996,1014591.0
PL51,1996,2988278.0
PL52,1996,1093172.0
PL61,1996,2092977.0
PL62,1996,1452423.0
PL63,1996,2165684.0
PT11,1996,3569019.0
PT15,1996,361927.0
PT16,1996,2289462.0
PT17,1996,2561025.0
PT18,1996,777816.0
PT20,1996,239786.0
PT30,1996,244658.0
RO11,1996,2879634.0
RO12,1996,2672043.0
RO21,1996,3790486.0
RO22,1996,2954200.0
RO31,1996,3521504.0
RO32,1996,2320924.0
RO41,1996,2435166.0
RO42,1996,2082188.0
UKC1,1996,1154560.0
UKC2,1996,1425022.0
UKD1,1996,486768.0
UKD3,1996,2535770.0
UKD4,1996,1413434.0
UKE1,1996,881526.0
UKE2,1996,726508.0
UKE3,1996,1279414.0
UKE4,1996,2073466.0
UKF1,1996,1968876.0
UKF2,1996,1516140.0
UKF3,1996,614851.0
UKG1,1996,1188310.0
UKG2,1996,1466884.0
UKG3,1996,2604785.0
UKH1,1996,2106092.0
UKH2,1996,1545002.0
UKH3,1996,1568136.0
UKJ1,1996,2032531.0
UKJ2,1996,2477664.0
UKJ3,1996,1734445.0
UKJ4,1996,1537052.0
UKK1,1996,2104902.0
UKK2,1996,1153797.0
UKK3,1996,480600.0
UKK4,1996,1048174.0
UKL1,1996,1857981.0
UKL2,1996,1031930.0
UKN0,1996,1655654.0
CH01,1997,1273374.0
CH02,1997,1643751.0
CH03,1997,980489.0
CH04,1997,1178848.0
CH05,1997,1036625.0
CH06,1997,663429.0
CH07,1997,304830.0
CY00,1997,666313.0
EFTA,1997,11775077.0
EL30,1997,3802708.0
EL41,1997,198782.0
EL42,1997,292262.0
EL43,1997,564357.0
EL51,1997,579075.0
EL52,1997,1787395.0
EL53,1997,290252.0
EL54,1997,333705.0
EL61,1997,740286.0
EL62,1997,199106.0
EL63,1997,708263.0
EL64,1997,550474.0
EL65,1997,582602.0
ES11,1997,2717003.0
ES12,1997,1079198.0
ES13,1997,531994.0
ES21,1997,2091894.0
ES22,1997,538100.0
ES23,1997,270184.0
ES24,1997,1198245.0
ES30,1997,5198753.0
ES41,1997,2502823.0
ES42,1997,1716289.0
ES43,1997,1063882.0
ES51,1997,6208373.0
ES52,1997,4022992.0
ES53,1997,780019.0
ES61,1997,7186527.0
ES62,1997,1128146.0
ES63,1997,69990.0
ES64,1997,62267.0
ES70,1997,1604650.0
EU28,1997,483512803.0
FI19,1997,1316084.0
FI1B,1997,1327243.0
FI1C,1997,1129759.0
FI1D,1997,1333977.0
FI20,1997,25257.0
FR10,1997,10895427.0
FRB0,1997,2432034.0
FRC1,1997,1614401.0
FRC2,1997,1114719.0
