region,year,gdp
DE22,2001,29130.08
DE23,2001,27172.27
DE24,2001,26506.12
DE25,2001,47904.86
DE26,2001,34960.89
DE27,2001,45408.57
DE30,2001,87158.42
DE40,2001,46413.57
DE50,2001,23311.7
DE60,2001,83186.5
DE71,2001,146569.36
DE72,2001,25054.46
DE73,2001,31063.92
DE80,2001,30155.51
DE91,2001,47544.36
DE92,2001,54206.75
DE93,2001,31415.53
DE94,2001,56134.59
DEA1,2001,153901.79
DEA2,2001,128917.6
DEA3,2001,58899.78
DEA4,2001,52386.72
DEA5,2001,86647.27
DEB1,2001,33453.29
DEB2,2001,10583.02
DEB3,2001,50999.13
DEC0,2001,26305.49
DED2,2001,31512.68
DED4,2001,28279.63
DED5,2001,19393.41
DEE0,2001,43613.08
DEF0,2001,66343.12
DEG0,2001,41114.9
DK01,2001,67805.66
DK02,2001,19649.52
DK03,2001,36255.4
DK04,2001,38385.83
DK05,2001,17205.73
DKZZ,2001,4844.15
EE00,2001,6982.12
EL30,2001,67021.74
EL41,2001,1956.29
EL42,2001,4812.61
EL43,2001,7325.19
EL51,2001,6061.28
EL52,2001,20642.95
EL53,2001,3544.78
EL54,2001,3527.94
EL61,2001,7433.17
EL62,2001,2841.33
EL63,2001,7362.37
EL64,2001,8074.41
EL65,2001,6834.64
ES11,2001,36029.5
ES12,2001,15252.7
ES13,2001,8636.3
ES21,2001,43515.3
ES22,2001,12052.3
ES23,2001,5273.0
ES24,2001,21935.0
ES30,2001,123638.3
ES41,2001,37939.9
ES42,2001,24300.5
ES43,2001,11906.4
ES51,2001,132816.3
ES52,2001,68573.1
ES53,2001,17867.9
ES61,2001,93964.3
ES62,2001,17524.5
ES63,2001,985.8
ES64,2001,906.6
ES70,2001,27237.4
ESZZ,2001,602.8
FI19,2001,32874.44
FI1B,2001,53889.06
FI1C,2001,28923.93
FI1D,2001,27850.03
FI20,2001,958.52
FIZZ,2001,117.02
FR10,2001,437419.7
FRB0,2001,55119.4
FRC1,2001,34892.6
FRC2,2001,25605.0
FRD1,2001,30372.9
FRD2,2001,40410.7
FRE1,2001,76589.0
FRE2,2001,37466.6
FRF1,2001,44008.4
FRF2,2001,30513.7
FRF3,2001,47142.0
FRG0,2001,73544.0
FRH0,2001,62899.6
FRI1,2001,67034.9
FRI2,2001,14372.9
FRI3,2001,34201.0
FRJ1,2001,47803.9
FRJ2,2001,57137.0
FRK1,2001,26219.9
FRK2,2001,147272.8
FRL0,2001,108329.7
FRM0,2001,5397.3
FRY1,2001,6058.8
FRY2,2001,5803.7
FRY3,2001,2466.1
FRY4,2001,10598.1
FRY5,2001,561.9
FRZZ,2001,829.3
HR02,2001,5793.41
HR03,2001,7996.45
HR05,2001,7880.78
HR06,2001,4265.87
HU11,2001,20317.18
HU12,2001,5601.41
HU21,2001,6182.52
HU22,2001,6311.78
HU23,2001,4327.02
HU31,2001,4946.72
HU32,2001,6411.47
HU33,2001,5970.68
HUZZ,2001,0.0
IE04,2001,14674.06
IE05,2001,37922.47
IE06,2001,69492.65
ITC1,2001,102349.56
ITC2,2001,3604.7
ITC3,2001,38660.73
ITC4,2001,278539.62
ITF1,2001,25204.16
ITF2,2001,5797.2
ITF3,2001,87381.71
ITF4,2001,60039.37
ITF5,2001,9788.45
ITF6,2001,27746.21
ITG1,2001,72264.57
ITG2,2001,25952.69
ITH1,2001,15125.91
ITH2,2001,14327.73
ITH3,2001,116583.77
ITH4,2001,29095.77
ITH5,2001,111394.15
ITI1,2001,84897.3
ITI2,2001,18352.41
ITI3,2001,31630.26
ITI4,2001,149178.72
ITZZ,2001,708.32
LT01,2001,4688.7
LT02,2001,9001.95
LU00,2001,23879.89
LV00,2001,9172.25
LVZZ,2001,9.93
MK00,2001,4143.5
MT00,2001,4537.9
MTZZ,2001,8.16
NL11,2001,18709.58
NL12,2001,14292.74
NL13,2001,10610.73
NL21,2001,26744.48
NL22,2001,49747.49
NL23,2001,7534.54
NL32,2001,93190.03
NL34,2001,8168.4
NL35,2001,45274.56
NL36,2001,104304.49
NL41,2001,70908.38
NL42,2001,29088.09
NLZZ,2001,4367.48
PL21,2001,15842.38
PL22,2001,28215.36
PL41,2001,19992.32
PL42,2001,9146.34
PL43,2001,4993.95
PL51,2001,16359.44
PL52,2001,4817.31
PL61,2001,10388.62
PL62,2001,6030.82
PL63,2001,11896.94
PL71,2001,13247.29
PL72,2001,5786.53
PL81,2001,9115.72
PL82,2001,8612.13
PL84,2001,5294.57
PL91,2001,33209.31
PL92,2001,10908.13
PT11,2001,39211.24
PT15,2001,5474.5
PT19,2001,19533.95
PT1A,2001,42578.82
PT1B,2001,7419.29
PT1C,2001,6364.79
PT1D,2001,9464.1
PT20,2001,2642.99
PT30,2001,2827.01
PTZZ,2001,258.33
RO11,2001,5239.14
RO12,2001,5432.51
RO21,2001,5426.75
RO22,2001,5275.64
RO31,2001,5806.5
RO32,2001,9504.76
RO41,2001,4088.18
RO42,2001,4328.01
ROZZ,2001,42.09
