region,year,gdp
ITF3,2003,93124.93
ITF4,2003,63176.06
ITF5,2003,10132.61
ITF6,2003,29328.25
ITG1,2003,77258.08
ITG2,2003,27782.29
ITH1,2003,15975.65
ITH2,2003,15225.64
ITH3,2003,125031.74
ITH4,2003,30259.01
ITH5,2003,118370.72
ITI1,2003,90918.17
ITI2,2003,19406.28
ITI3,2003,34078.04
ITI4,2003,161543.23
ITZZ,2003,718.69
LT01,2003,6005.35
LT02,2003,10669.24
LU00,2003,26227.29
LV00,2003,10023.26
LVZZ,2003,5.74
MK00,2003,4385.9
MT00,2003,4789.11
MTZZ,2003,7.82
NL11,2003,20311.42
NL12,2003,15107.24
NL13,2003,11255.36
NL21,2003,28475.65
NL22,2003,53026.59
NL23,2003,8597.82
NL32,2003,101758.76
NL34,2003,9189.38
NL35,2003,46783.82
NL36,2003,111913.91
NL41,2003,74126.76
NL42,2003,30669.36
NLZZ,2003,3684.94
PL21,2003,14688.65
PL22,2003,25703.27
PL41,2003,17977.98
PL42,2003,7877.68
PL43,2003,4409.92
PL51,2003,14907.56
PL52,2003,4240.52
PL61,2003,9267.98
PL62,2003,5527.16
PL63,2003,10874.87
PL71,2003,12327.05
PL72,2003,5355.7
PL81,2003,8121.08
PL82,2003,7858.6
PL84,2003,4703.09
PL91,2003,29452.6
PL92,2003,9906.15
PT11,2003,40925.48
PT15,2003,6179.21
PT19,2003,20976.7
PT1A,2003,46697.26
PT1B,2003,7759.29
PT1C,2003,6718.34
PT1D,2003,10316.79
PT20,2003,2957.05
PT30,2003,3374.38
PTZZ,2003,163.37
RO11,2003,6070.59
RO12,2003,6167.81
RO21,2003,6065.28
RO22,2003,5881.83
RO31,2003,6399.72
RO32,2003,10909.09
RO41,2003,4525.75
RO42,2003,5047.52
ROZZ,2003,40.92
RS11,2003,7375.47
RS12,2003,5700.71
RS21,2003,4172.42
RS22,2003,3600.84
RSZZ,2003,14.76
SE11,2003,84503.71
SE12,2003,43050.54
SE21,2003,23339.67
SE22,2003,38787.38
SE23,2003,57656.82
SE31,2003,22740.29
SE32,2003,10944.24
SE33,2003,14961.38
SEZZ,2003,86.86
SI03,2003,11641.73
SI04,2003,14363.0
SK01,2003,7727.32
SK02,2003,9657.11
SK03,2003,6151.21
SK04,2003,6388.43
TR10,2003,82075.68
TR21,2003,6927.74
TR22,2003,5987.91
TR31,2003,17749.84
TR32,2003,9286.92
TR33,2003,9144.13
TR41,2003,15676.48
TR42,2003,16181.06
TR51,2003,25350.16
TR52,2003,6825.34
TR61,2003,10821.39
TR62,2003,11074.64
TR63,2003,7075.6
TR71,2003,4112.18
TR72,2003,7191.19
TR81,2003,2889.8
TR82,2003,2341.66
TR83,2003,7230.51
TR90,2003,6877.91
TRA1,2003,2697.94
TRA2,2003,1813.84
TRB1,2003,3649.59
TRB2,2003,2843.6
TRC1,2003,4980.41
TRC2,2003,5316.54
TRC3,2003,3167.86
AT11,2004,5532.69
AT12,2004,37800.34
AT13,2004,62924.23
AT21,2004,14103.42
AT22,2004,31367.25
